Date,Region,Product,Category,Quantity_Sold,Unit_Price,Total_Sales
2024-02-11,Central,Monitor,Electronics,2,25608,51216
2024-07-20,South,Keyboard,Accessories,3,61602,184806
2025-03-01,South,Tablet,Electronics,3,64983,194949
2025-04-12,East,Tablet,Electronics,7,22866,160062
2023-08-05,South,Phone,Electronics,6,53154,318924
2025-04-22,East,Keyboard,Accessories,8,44146,353168
2024-04-06,West,Tablet,Electronics,2,34927,69854
2024-05-30,North,Tablet,Electronics,7,57580,403060
2024-01-05,North,Phone,Electronics,5,65582,327910
2025-01-15,West,Monitor,Electronics,10,65353,653530
2023-11-15,West,Monitor,Electronics,2,23723,47446
2024-05-24,West,Tablet,Electronics,6,61817,370902
2023-10-04,Central,Phone,Electronics,9,6642,59778
2023-09-29,West,Phone,Electronics,6,9479,56874
2025-04-26,Central,Laptop,Electronics,4,46086,184344
2024-03-15,South,Phone,Electronics,7,13290,93030
2025-04-13,East,Phone,Electronics,2,18132,36264
2024-11-05,North,Tablet,Electronics,7,67686,473802
2025-06-04,South,Keyboard,Accessories,7,44188,309316
2024-05-25,East,Tablet,Electronics,3,47723,143169
2023-11-01,East,Monitor,Electronics,10,12112,121120
2023-10-30,West,Monitor,Electronics,5,43332,216660
2024-12-15,Central,Keyboard,Accessories,10,23219,232190
2023-08-04,South,Tablet,Electronics,2,69553,139106
2025-03-05,South,Phone,Electronics,4,36284,145136
2025-01-26,West,Phone,Electronics,6,14753,88518
2024-07-20,South,Laptop,Electronics,3,39043,117129
2023-09-22,West,Monitor,Electronics,5,5106,25530
2023-07-28,West,Laptop,Electronics,7,46601,326207
2023-08-11,West,Monitor,Electronics,1,38758,38758
2024-09-27,West,Phone,Electronics,1,49466,49466
2025-03-24,North,Laptop,Electronics,7,38249,267743
2024-03-23,North,Phone,Electronics,8,32661,261288
2023-11-01,West,Phone,Electronics,8,58195,465560
2023-07-25,Central,Monitor,Electronics,4,45906,183624
2024-12-28,East,Keyboard,Accessories,9,11299,101691
2024-10-16,North,Monitor,Electronics,1,41521,41521
2023-12-06,East,Keyboard,Accessories,2,51425,102850
2024-03-10,South,Tablet,Electronics,3,19735,59205
2023-12-15,Central,Laptop,Electronics,3,17343,52029
2023-07-07,East,Keyboard,Accessories,9,31795,286155
2024-04-09,North,Keyboard,Accessories,3,48123,144369
2023-10-26,Central,Tablet,Electronics,10,40669,406690
2024-01-20,North,Phone,Electronics,2,37973,75946
2024-01-19,East,Monitor,Electronics,7,21275,148925
2025-03-26,East,Laptop,Electronics,7,64779,453453
2024-09-17,North,Phone,Electronics,5,23759,118795
2024-10-09,West,Laptop,Electronics,8,56779,454232
2023-12-11,West,Keyboard,Accessories,4,61376,245504
2025-01-25,Central,Tablet,Electronics,9,45777,411993
2024-01-03,East,Phone,Electronics,7,54970,384790
2023-08-21,Central,Laptop,Electronics,8,64192,513536
2024-09-03,Central,Keyboard,Accessories,3,24244,72732
2023-08-27,West,Monitor,Electronics,2,50548,101096
2024-01-28,South,Phone,Electronics,8,34454,275632
2024-03-04,South,Tablet,Electronics,4,52081,208324
2023-12-21,West,Monitor,Electronics,2,58347,116694
